trade_id,counterparty_entity_id,counterparty_name,issuer_id,issuer_name,instrument_type,instrument_id,isin,trade_date,settlement_date,notional_amount,currency,risk_country,booking_country,exchange_mic,kyc_status,counterparty_risk_rating,lei,sector,source_system,provider_name,provider_confidence_score,ingestion_timestamp,last_verified_date,synthetic_issue_tags
TRD-00000001,ENT-000323,Summit Partners PLC,ISS-000101,Apex Mining PLC,Private Credit,PRI-830824,NGYQ9N2OURNZ,2026-01-01,2026-01-06,747112.01,EUR,LU,LU,XNSA,Approved,Low,C8VYI78SNF69T7VKBB8Q,Technology,CustodyPlatform,ProviderB,0.9063,2026-01-01 14:22:00,2025-02-08,
TRD-00000002,ENT-000201,Quantum Mining GmbH,ISS-000208,Pioneer Pharma LLC,Fund,FUN-332060,CAEFI7TGH5OD,2026-03-12,2026-03-15,396934.79,CAD,CA,CA,XTSE,Pending,Low,92I8L3178TW48OF2TX0Q,Industrials,ManualUpload,ProviderB,0.31,2026-03-14 09:26:00,2025-04-30,invalid_or_low_provider_confidence
TRD-00000003,ENT-000336,Nile Holdings Ltd,ISS-ORPHAN-9627,Helios Partners LLC,Private Equity,PRI-326088,HKL0PL13YLGZ,2025-08-04,2025-08-06,985919.65,USD,NL,NL,XHKG,Approved,Low,L095Z8FE8B2HWYWYLAH3,Consumer Goods,ManualUpload,ProviderB,0.9678,2025-08-05 18:26:00,2024-07-17,orphan_issuer_id
TRD-00000004,ENT-000336,Nile Holdings Ltd,ISS-000103,Nile Foods Inc,Equity,EQU-871619,NLSBTKLZMEJE,2025-10-04,2025-10-18,4624826.14,EUR,NL,NL,XAMS,Pending,Low,L095Z8FE8B2HWYWYLAH3,Consumer Goods,ManualUpload,InternalGoldenSource,0.6919,2025-10-04 19:06:00,2024-01-23,low_provider_confidence
TRD-00000005,ENT-000288,Crescent Telecoms PLC,ISS-000072,Cedar Markets LLC,Private Equity,PRI-343390,USLW89Z4IQA6,2025-10-19,2025-10-26,11261045.26,USD,NG,NG,XNYS,Approved,Low,E753MS556Q8V88BC1HY2,Consumer Goods,CustodyPlatform,ProviderC,0.7964,2025-10-21 02:49:00,2025-09-23,
TRD-00000006,ENT-000291,Falcon Partners PLC,ISS-000195,Falcon Partners Ltd,Private Credit,PRI-526282,NG5MHEAJH7GP,2025-03-02,2025-03-16,1044458.68,EUR,FR,FR,XNSA,Approved,Medium,ETHVKB8UC3160RB4BUYY,Consumer Goods,OMS,ProviderC,0.8754,2025-03-05 00:38:00,2023-03-27,
TRD-00000007,ENT-000193,Evergreen Industries GmbH,ISS-000033,Cedar Partners LLC,Private Equity,PRI-756581,HK3T3SY94EVI,2025-01-14,2025-01-12,646903.68,USD,JP,JP,XHKG,Approved,High,LM5MPPQNOMPWJGHF5A8C,Utilities,ManualUpload,InternalGoldenSource,0.6718,2025-01-16 15:10:00,2023-11-06,low_provider_confidence;settlement_before_trade_date
TRD-00000008,ENT-000105,Northstar Telecoms BV,ISS-000206,Summit Capital Ltd,Private Equity,PRI-649850,AUGNCIAX08EV,2026-01-16,2026-01-21,1854873.2,AUD,AU,AU,XASX,Pending,Low,YAS0YF9P7KYKIRTR5JEK,Telecommunications,ReferenceDataHub,InternalGoldenSource,0.6236,2026-01-16 17:10:00,2023-08-27,low_provider_confidence
TRD-00000009,ENT-000287,Crescent Infrastructure LP,ISS-000227,Cedar Partners GmbH,Equity,EQU-904246,CAQ5IOLJDOHC,2025-12-20,2025-12-27,184758.69,CAD,SG,SG,XTSE,Approved,High,6RJ3GHQ55OIBGDE5BLYU,Industrials,CustodyPlatform,ProviderC,0.8276,2025-12-21 23:39:00,2025-02-09,
TRD-00000010,ENT-000310,Pioneer Foods GmbH,ISS-000071,Bluewater Capital Inc,Bond,BON-946446,CH7T5G7WS9RG,2026-04-30,2026-05-01,892028.27,CHF,CA,CA,XSWX,Approved,High,IWGX6M52Y4R1F1XL11FC,Real Estate,CustodyPlatform,InternalGoldenSource,0.866,2026-04-30 17:32:00,2026-03-07,
TRD-00000011,ENT-000325,Helios Telecoms Inc,ISS-000214,Orion Infrastructure LLC,Private Credit,PRI-126524,CAI119IH2HXW,2025-05-27,2025-06-10,1814672.98,USD,SG,SG,XTSE,Approved,Medium,Y7PGU7MX3GJ10FFD1I4N,Utilities,PrimeBrokerFeed,InternalGoldenSource,0.9052,2025-05-28 20:11:00,2024-03-07,
TRD-00000012,ENT-000169,Helios Partners SA,ISS-000025,Helios Markets LP,Equity,EQU-755643,SGEVB2Y6O6AO,2025-09-17,2025-09-22,588843.67,USD,US,US,XSES,Approved,Low,8CW2G9O9YP6SDYY0U9DA,Healthcare,OMS,ProviderA,0.9394,2025-09-18 08:17:00,2023-10-05,
TRD-00000013,ENT-000068,Cedar Energy PLC,ISS-000022,Falcon Industries SA,Private Credit,PRI-977944,AU8Z1HONGWUL,2025-05-03,2025-05-03,168255.59,,SG,SG,XASX,Rejected,Low,3CSMCMCUT6Z84QCMSWDV,Healthcare,ReferenceDataHub,ProviderC,0.9522,2025-05-03 02:21:00,2023-07-02,invalid_currency
TRD-00000014,ENT-000228,Cedar Logistics SA,ISS-000012,Redwood Telecoms SA,Private Equity,PRI-223432,GB7V533CFS3W,2025-07-23,2025-07-30,173231.31,USD,US,US,XLON,Approved,Medium,3FQUKHFH2XF7Y6KY9YCK,Consumer Goods,PrimeBrokerFeed,InternalGoldenSource,0.8302,2025-07-25 23:22:00,2024-10-15,
TRD-00000015,ENT-000042,Meridian Logistics GmbH,ISS-000225,Meridian Pharma GmbH,Derivative,DER-247247,JPAHTUQL23B2,2025-09-10,2025-09-12,11789678.8,JPY,SG,SG,XTKS,Approved,Low,A3S8KE2WT1Q3TMY4GPYW,Materials,ManualUpload,ProviderC,0.7732,2025-09-10 22:17:00,2024-11-20,
TRD-00000016,ENT-000088,Union Holdings GmbH,ISS-000010,Pioneer Infrastructure Inc,Private Equity,PRI-833640,JPHI804EYNIN,2026-01-30,2026-01-31,10280782.06,JPY,NL,NL,XTKS,Approved,Medium,XPDH3TKZ6THSXOOI4J3X,Telecommunications,ManualUpload,ProviderC,0.6536,2026-01-31 02:21:00,2025-04-09,low_provider_confidence
TRD-00000017,ENT-000054,Crescent Holdings PLC,ISS-000162,Bluewater Logistics Inc,Private Credit,PRI-673338,GBUYPBSBA3SI,2025-01-09,2025-01-10,817648.86,EUR,DE,DE,XLON,Expired,Low,R21520RN6HW1HS57TCOZ,Materials,EMS,ProviderA,0.7824,2025-01-09 20:29:00,2024-03-01,
TRD-00000018,ENT-000260,Orion Energy PLC,ISS-000028,Apex Industries BV,Fund,FUN-695578,LUVPN8DPOY7U,2026-03-13,2026-03-27,2446342.52,EUR,NL,NL,XLUX,Approved,Low,YKB5FAALFS04INJR720P,Industrials,EMS,ProviderB,0.8655,2026-03-15 19:12:00,2024-07-09,
TRD-00000019,ENT-000105,Northstar Telecoms BV,ISS-000112,Sterling Energy LLC,Derivative,DER-585998,JPWU5140VIPY,2025-09-08,2025-09-09,370596.54,AUD,AU,AU,XTKS,Approved,Low,YAS0YF9P7KYKIRTR5JEK,Telecommunications,ReferenceDataHub,ProviderB,0.9023,2025-09-10 00:53:00,2024-05-12,
TRD-00000020,ENT-000301,Nile Foods Inc,ISS-000007,Harbour Telecoms LLC,Bond,BON-341249,DEYNZE8YM4GV,2025-07-02,2025-07-16,1177267.05,CAD,CA,CA,XETR,Approved,Low,QLUSMF0XLZYOBB9OF3MQ,Industrials,EMS,InternalGoldenSource,0.6895,2025-07-02 09:41:00,2024-05-20,low_provider_confidence
TRD-00000021,ENT-000055,Apex Industries GmbH,ISS-000120,Summit Infrastructure Ltd,Derivative,DER-819636,DEOZL9E34UZY,2025-03-26,2025-03-28,3249170.32,EUR,US,US,XETR,Approved,Medium,NIQSUHA51LIY8O69WEZC,Telecommunications,CustodyPlatform,ProviderA,0.7999,2025-03-28 16:24:00,2024-11-14,
TRD-00000022,ENT-000187,Falcon Industries BV,ISS-000029,Quantum Pharma Ltd,Private Equity,PRI-150901,DEE5EMDJNIFL,2025-07-03,2025-07-06,3361069.02,CHF,CH,CH,XETR,Approved,Low,0XGJ1QQ81XRZN0994LX9,Real Estate,CustodyPlatform,ProviderC,0.6347,2025-07-05 10:27:00,2023-01-21,low_provider_confidence
TRD-00000023,ENT-000153,Cedar Pharma BV,ISS-000163,Orion Mining Limited,Derivative,DER-617420,CHCVBE4G0TRU,2025-04-25,2025-04-27,2186313.12,CHF,LU,LU,XSWX,Approved,Low,FOWOT0VXQS3H4DE4M6HY,Real Estate,CustodyPlatform,ProviderC,0.7478,2025-04-25 18:40:00,2024-12-16,
TRD-00000024,ENT-000052,Crescent Partners BV,ISS-000098,Cobalt Industries GmbH,Derivative,DER-554489,NGR9HKOC8PSC,2025-03-22,2025-03-24,1707362.75,NGN,NG,NG,XNSA,Approved,High,G6NJ4OGW9XHRO199BRBL,Healthcare,OMS,ProviderB,0.8312,2025-03-22 10:53:00,2023-05-23,
TRD-00000025,ENT-000024,Redwood Markets LLC,ISS-000155,Summit Capital BV,Fund,FUN-332074,CA9S3516ZMQL,2025-07-05,2025-07-12,9367144.08,USD,US,US,XTSE,Approved,Low,K3I8BZBF1I3LDQYUN3UV,Telecommunications,EMS,ProviderA,0.8823,2025-07-06 16:06:00,2023-04-17,
TRD-00000026,ENT-000078,Nile Holdings PLC,ISS-000119,Keystone Logistics Limited,Private Equity,PRI-462072,CHQ6TO1KRF7Y,2026-05-26,2026-05-27,3074276.39,CHF,NG,NG,XSWX,Rejected,Low,Z63PNWDDS54S8AG1IQXZ,Consumer Goods,OMS,ProviderB,0.8968,2026-05-28 14:35:00,2026-03-06,
TRD-00000027,ENT-000252,Lagoon Holdings Ltd,ISS-000061,Falcon Pharma Limited,Private Equity,PRI-915293,CAOB4RGLY41T,2025-05-15,2025-05-18,749433.85,CAD,JP,JP,XTSE,Approved,High,EA0G7G2WOSQMCBFDNHHF,Materials,ReferenceDataHub,InternalGoldenSource,0.8235,2025-05-15 20:49:00,2024-11-13,
TRD-00000028,ENT-000207,Apex Energy GmbH,ISS-000127,Crescent Telecoms PLC,Private Credit,PRI-280638,FRJ5GAJT9F5G,2026-04-21,2026-04-23,5244746.34,EUR,JP,JP,XPAR,Approved,Low,HZPAC4JXFPK5FVDDWJ8G,Industrials,ReferenceDataHub,ProviderA,0.7618,2026-04-23 11:41:00,2025-05-13,
TRD-00000029,ENT-000292,Bluewater Logistics PLC,ISS-000161,Falcon Infrastructure LLC,Equity,EQU-595104,NLUUMMD55CR0,2025-04-04,2025-04-06,4070822.0,EUR,NL,NL,XAMS,Approved,High,NV56VKTX1M5E8NSQDTZO,Materials,ReferenceDataHub,ProviderB,0.7394,2025-04-05 06:11:00,2024-03-22,
