entity_id,legal_name,normalized_name,country_code,registration_number,entity_type,sector,industry,status,incorporation_date,last_verified_date,source_system,created_at,updated_at
ENT000001,Atlas Investments,ATLAS INVESTMENTS,SG,SG-857164,Private Company,Materials,Private Equity,Inactive,1984-02-15,2024-12-21,ProviderA,2022-04-12,2023-07-08
ENT000002,Horizon Energy,HORIZON ENERGY,DE,DE-509697,SPV,Utilities,Retail,Active,2021-12-25,2023-06-08,KYC Platform,2020-10-01,2024-05-31
ENT000003,Crestline Services,CRESTLINE SERVICES,NL,NL-725526,Private Company,Technology,Private Equity,Active,2003-01-14,2023-06-23,Issuer Feed,2024-04-11,2025-02-20
ENT000004,Atlas Industries,ATLAS INDUSTRIES,IE,,Private Company,Materials,Software,Dissolved,2023-07-30,2024-07-13,KYC Platform,2021-09-03,2024-10-25
ENT000005,Sterling Ltd,STERLING,FR,FR-143294,Private Company,Materials,Software,Active,1998-04-07,2022-12-18,Issuer Feed,2023-06-08,2023-04-20
ENT000006,Meridian Finance,MERIDIAN FINANCE,BR,BR-198705,SPV,Financials,Banking,Active,2016-08-27,2021-02-14,Internal Master,2020-11-12,2023-02-21
ENT000007,Redwood Investments,REDWOOD INVESTMENTS,IE,IE-928094,Financial Institution,Financials,Telecom Services,Active,1994-07-23,2021-07-14,ProviderA,2020-09-22,2024-09-14
ENT000008,Greenfield Corporation,GREENFIELD,NG,NG-611174,Financial Institution,Technology,Power Generation,Active,1999-07-13,2024-10-16,KYC Platform,2023-01-12,2024-04-01
ENT000009,Albion Ltd,ALBION,HK,HK-656107,Fund,Utilities,Software,Merged,1995-04-05,2024-12-12,Internal Master,2020-12-07,2023-10-11
ENT000010,PrimeEdge Energy,PRIMEEDGE ENERGY,US,US-407158,Private Company,Consumer Goods,Pharmaceuticals,Active,2004-01-31,2021-05-03,KYC Platform,2022-05-24,2024-12-01
ENT000011,Albion Capital,ALBION CAPITAL,IE,IE-844117,Fund,Consumer Goods,Retail,Active,1989-10-29,2023-09-28,ProviderA,2022-09-05,2023-05-21
ENT000012,BluePeak Services,BLUEPEAK SERVICES,AE,AE-681705,Private Company,Industrials,Power Generation,Active,2002-02-22,2023-08-24,ProviderB,2020-07-19,2023-04-10
ENT000013,Frontier Industries,FRONTIER INDUSTRIES,,IE-331943,Public Company,Industrials,Pharmaceuticals,Active,2016-12-15,2021-08-30,KYC Platform,2021-07-01,2024-01-30
ENT000014,Crestline Corporation,CRESTLINE,BR,BR-683835,Fund,Telecommunications,Logistics,Active,1986-11-06,2024-02-25,Manual Upload,2020-11-13,2023-08-01
ENT000015,Meridian Energy,MERIDIAN ENERGY,IN,IN-103491,SPV,Financials,Oil & Gas,Active,2014-11-19,2022-11-03,Internal Master,2020-01-02,2023-07-03
ENT000016,Lagos Continental Holdings,LAGOS CONTINENTAL,IE,IE-316532,Private Company,Consumer Goods,Private Equity,Inactive,2017-08-04,2021-12-03,KYC Platform,2024-04-07,2024-05-08
ENT000017,Atlas Technologies,ATLAS TECHNOLOGIES,JP,JP-283533,Financial Institution,Technology,Private Equity,Active,1981-07-14,2023-03-30,KYC Platform,2020-02-09,2023-08-29
ENT000018,Westbridge Limited,WESTBRIDGE,IN,IN-807227,Fund,Utilities,Power Generation,Active,2009-09-24,2024-08-15,Internal Master,2023-09-23,2024-04-06
ENT000019,Silvergate Corporation,SILVERGATE,AU,AU-761623,Private Company,Energy,Private Equity,Active,2001-05-06,2021-11-13,KYC Platform,2021-11-01,2024-03-23
ENT000020,Nova Partners,NOVA PARTNERS,AE,AE-182136,Public Company,Financials,Power Generation,Active,2008-01-25,2023-06-24,Internal Master,2021-03-30,2024-09-17
ENT000021,BluePeak Investments,BLUEPEAK INVESTMENTS,DE,DE-915808,Public Company,Industrials,Private Equity,Active,1992-12-17,2023-12-07,Issuer Feed,2022-05-09,2025-02-09
ENT000022,Greenfield Group,GREENFIELD,FR,FR-836324,Private Company,Industrials,Logistics,Active,1989-09-10,2023-07-03,ProviderA,2024-02-13,2024-05-11
ENT000023,Korefield Finance,KOREFIELD FINANCE,IE,IE-491305,Private Company,Consumer Goods,Software,Unknown,1992-08-17,2023-08-09,Internal Master,2022-12-08,2023-08-15
ENT000024,Lagos Continental Services,LAGOS CONTINENTAL SERVICES,NL,NL-290769,Private Company,Real Estate,Mining,Active,1986-09-27,2023-11-27,Internal Master,2020-05-12,2024-03-30
ENT000025,Horizon Investments,HORIZON INVESTMENTS,GB,GB-478243,Private Company,Telecommunications,Banking,Active,1997-11-03,2021-12-08,ProviderB,2023-06-07,2024-01-16
ENT000026,Redwood PLC,REDWOOD,DE,DE-630620,Private Company,Healthcare,Logistics,Active,2018-05-30,2021-05-29,ProviderA,2023-06-07,2023-12-23
ENT000027,Summit Energy,SUMMIT ENERGY,LU,LU-667079,Government Entity,Utilities,Power Generation,Active,2014-04-04,2016-02-24,ProviderB,2024-05-09,2023-09-30
ENT000028,Albion Limited,ALBION,BR,BR-412578,SPV,Consumer Goods,Power Generation,Active,1987-11-23,2022-04-12,Manual Upload,2020-11-27,2023-03-03
ENT000029,Meridian PLC,MERIDIAN,BR,,Private Company,Technology,Telecom Services,Active,2004-07-22,2024-10-18,Manual Upload,2023-10-09,2023-07-14
