child_entity_id,parent_entity_id,relationship_type,ownership_percentage,effective_from,effective_to,source_system
ENT003368,ENT001323,Parent,45.9,2010-10-20,2028-10-10,Internal Master
ENT000619,ENT004273,Affiliate,56.84,2018-08-15,2024-05-24,ProviderA
ENT004137,ENT003384,Subsidiary,67.43,2019-01-25,2025-09-02,ProviderB
ENT001304,ENT003374,Unknown,43.0,2018-02-09,2024-02-29,ProviderA
ENT003363,ENT001829,Unknown,94.96,2020-01-21,2024-02-21,ProviderA
ENT002050,ENT000076,Ultimate Parent,59.0,2014-03-14,2026-05-27,Internal Master
ENT000447,ENT000875,Parent,92.85,2021-11-26,2026-10-08,Internal Master
ENT004895,ENT001032,Ultimate Parent,85.94,2022-04-07,2025-08-01,ProviderA
ENT002701,ENT002392,Unknown,53.16,2023-09-08,2026-10-15,ProviderB
ENT000820,ENT003671,Unknown,78.15,2016-05-03,2027-06-15,ProviderB
ENT_UNKNOWN_20,ENT001230,Ultimate Parent,129.84,2010-08-01,2024-04-26,ProviderB
ENT004330,ENT001028,Parent,53.08,2019-04-29,2026-01-14,ProviderB
ENT000090,ENT003638,Subsidiary,42.61,2023-08-30,2024-11-03,ProviderA
ENT000824,ENT001261,Affiliate,124.58,2022-12-15,2025-07-21,ProviderA
ENT000511,ENT003500,Parent,57.97,2016-07-27,2024-03-21,ProviderB
ENT001707,ENT000557,Ultimate Parent,36.25,2019-09-04,2024-06-16,Internal Master
ENT002033,ENT003052,Ultimate Parent,6.42,2020-05-18,2025-07-30,Internal Master
ENT003423,ENT002008,Ultimate Parent,79.88,2023-12-03,2024-04-06,ProviderB
ENT003704,ENT000699,Unknown,69.68,2015-02-19,2026-02-01,ProviderB
ENT003114,ENT003418,Unknown,12.97,2013-02-25,2026-08-10,ProviderA
ENT002232,ENT001743,Parent,68.52,2010-12-03,2024-05-17,ProviderB
ENT004823,ENT004078,Ultimate Parent,10.8,2017-02-02,2028-04-15,Internal Master
ENT001890,ENT003764,Affiliate,80.18,2012-05-01,2024-05-20,ProviderB
ENT002078,ENT003223,Parent,97.72,2021-12-12,2024-05-03,ProviderA
ENT002027,ENT004634,Parent,66.11,2018-06-17,2026-07-22,ProviderA
ENT004746,ENT000728,Unknown,103.39,2019-03-09,2025-06-20,ProviderA
ENT004986,ENT001645,Affiliate,14.78,2021-04-08,2024-05-14,Internal Master
ENT004681,ENT004362,Parent,4.07,2014-06-02,2025-01-30,Internal Master
ENT002962,ENT002221,Unknown,-25.0,2011-04-10,2025-06-06,ProviderB
ENT003614,ENT001176,Affiliate,18.97,2011-10-06,2026-02-03,ProviderA
ENT002079,ENT002520,Affiliate,56.93,2015-08-31,2027-10-14,ProviderA
ENT000099,ENT000099,Subsidiary,112.18,2021-10-17,2026-08-27,ProviderA
ENT002987,ENT001616,Parent,80.25,2016-01-11,2028-07-20,ProviderA
ENT004027,ENT004283,Subsidiary,55.12,2010-02-04,2027-02-03,Internal Master
ENT000548,ENT000164,Affiliate,56.13,2016-11-08,2024-03-14,Internal Master
ENT004549,ENT000242,Parent,93.59,2013-09-15,2027-07-08,ProviderB
ENT002745,ENT004036,Ultimate Parent,37.56,2016-10-17,2025-04-10,ProviderB
ENT002646,ENT003446,Ultimate Parent,70.5,2013-04-10,2026-08-16,ProviderB
ENT004310,ENT000876,Subsidiary,65.58,2020-07-31,2028-05-15,ProviderB
ENT000996,ENT000053,Ultimate Parent,68.67,2018-07-24,2025-06-10,Internal Master
ENT004892,ENT003406,Affiliate,55.68,2016-01-26,2026-06-17,Internal Master
ENT000914,ENT001491,Unknown,39.4,2021-03-11,2027-10-19,Internal Master
ENT003745,ENT000839,Unknown,19.67,2011-09-30,2027-11-15,Internal Master
ENT004270,ENT003048,Affiliate,90.23,2011-09-30,2024-11-04,Internal Master
ENT003298,ENT000500,Parent,52.68,2016-08-27,2026-01-23,ProviderB
ENT000441,ENT004157,Subsidiary,91.5,2020-12-07,2025-12-10,ProviderB
ENT003496,ENT004178,Affiliate,78.09,2014-09-16,2028-03-03,ProviderB
ENT002759,ENT001736,Affiliate,-0.12,2020-09-22,2025-02-26,ProviderB
ENT_UNKNOWN_6,ENT000059,Parent,,2020-11-07,2028-10-07,ProviderA
ENT001028,ENT003817,Ultimate Parent,52.87,2023-12-29,2028-06-26,ProviderB
ENT001111,ENT002002,Unknown,83.7,2017-07-08,2025-01-12,Internal Master
ENT001522,ENT001477,Ultimate Parent,32.55,2017-11-16,2026-05-20,ProviderA
ENT004234,ENT001981,Affiliate,85.56,2015-06-11,2025-05-05,ProviderA
ENT004935,ENT004552,Affiliate,113.53,2019-05-22,2027-08-31,Internal Master
ENT004889,ENT003901,Unknown,7.26,2022-09-11,2025-09-17,ProviderB
ENT001397,ENT000924,Affiliate,55.99,2019-11-26,2026-11-21,ProviderA
ENT003606,ENT002288,Parent,66.28,2010-12-05,2025-11-12,Internal Master
ENT003452,ENT000976,Unknown,85.16,2014-04-25,2028-06-01,ProviderB
ENT001603,ENT004756,Affiliate,84.48,2013-01-08,2025-12-31,Internal Master
ENT003876,ENT000699,Parent,41.59,2015-06-22,2024-08-20,Internal Master
ENT003313,ENT004348,Subsidiary,66.47,2014-11-26,2026-07-26,ProviderB
ENT001456,ENT003767,Ultimate Parent,86.53,2014-06-19,2028-10-10,Internal Master
ENT001740,ENT000285,Unknown,39.39,2014-06-21,2024-06-14,ProviderA
ENT000741,ENT_UNKNOWN_14,Subsidiary,63.89,2017-01-15,2028-11-29,Internal Master
ENT002019,ENT000877,Parent,54.33,2010-04-13,2028-03-17,ProviderA
ENT003900,ENT002119,Subsidiary,61.92,2023-06-11,2024-12-27,ProviderA
ENT002965,ENT002511,Ultimate Parent,6.77,2021-03-11,2024-12-24,ProviderB
ENT002291,ENT003356,Ultimate Parent,80.75,2010-03-29,2025-12-28,ProviderA
ENT004216,ENT002350,Parent,58.45,2023-09-27,2028-06-21,Internal Master
ENT001454,ENT004231,Ultimate Parent,84.14,2021-07-29,2027-07-26,Internal Master
ENT000946,ENT000822,Affiliate,88.34,2017-03-17,2026-12-12,ProviderB
ENT001069,ENT004985,Ultimate Parent,85.05,2020-06-03,2028-06-26,Internal Master
ENT002212,ENT004553,Affiliate,85.97,2012-04-19,2025-04-25,Internal Master
ENT004968,ENT000905,Parent,86.67,2012-06-15,2025-06-28,ProviderB
ENT002795,ENT003095,Affiliate,104.99,2010-03-18,2028-01-18,Internal Master
ENT003264,ENT004208,Affiliate,-25.0,2017-07-23,2025-12-19,ProviderA
ENT004255,ENT004771,Affiliate,11.54,2014-10-26,2024-10-28,ProviderA
ENT002642,ENT000206,Subsidiary,61.72,2017-03-18,2027-07-20,ProviderA
ENT002890,ENT003007,Unknown,64.96,2019-11-19,2026-07-15,ProviderA
ENT000577,ENT002543,Ultimate Parent,84.4,2017-12-25,2028-11-20,Internal Master
ENT001486,ENT002351,Parent,70.84,2020-04-13,2024-02-07,Internal Master
ENT004608,ENT003931,Parent,54.11,2016-08-13,2025-08-20,ProviderB
ENT003742,ENT002098,Ultimate Parent,92.1,2011-01-22,2028-01-23,Internal Master
ENT001681,ENT003636,Ultimate Parent,57.8,2014-07-27,2028-01-02,ProviderB
ENT003030,ENT001466,Parent,24.53,2013-08-09,2028-08-14,ProviderA
ENT003994,ENT001200,Unknown,4.16,2014-06-18,2027-12-11,ProviderB
ENT000270,ENT004316,Unknown,45.91,2019-07-23,2028-08-19,ProviderB
ENT004572,ENT002982,Unknown,123.2,2022-09-01,2025-01-08,ProviderB
ENT001378,ENT002731,Unknown,61.21,2012-06-06,2026-02-23,ProviderA
ENT001040,ENT000507,Subsidiary,47.76,2016-07-08,2026-01-27,ProviderB
ENT004558,ENT003791,Parent,65.15,2016-05-28,2026-12-07,Internal Master
ENT004939,ENT000702,Subsidiary,16.46,2014-02-16,,ProviderB
ENT000844,ENT002398,Subsidiary,108.2,2018-01-26,2025-04-10,Internal Master
ENT004516,ENT001609,Affiliate,29.46,2010-11-09,2026-09-14,ProviderA
ENT002772,ENT002225,Subsidiary,33.23,2014-06-28,2024-05-31,ProviderA
ENT002859,ENT000020,Ultimate Parent,48.72,2012-05-28,2027-12-28,ProviderB
ENT002380,ENT003003,Subsidiary,99.68,2019-05-22,2025-08-06,ProviderA
ENT003658,ENT004821,Parent,92.48,2018-12-25,2024-06-08,Internal Master
ENT002991,ENT002775,Affiliate,81.13,2015-11-14,2028-05-23,ProviderB
ENT001401,ENT004130,Affiliate,77.41,2014-03-09,2024-04-26,ProviderB
ENT000659,ENT003068,Affiliate,7.98,2010-04-11,2028-01-26,ProviderB
ENT003655,ENT001577,Affiliate,104.73,2015-11-01,2026-07-31,ProviderB
ENT001837,ENT001550,Parent,74.94,2019-04-20,2024-05-24,Internal Master
ENT002178,ENT004556,Parent,48.02,2022-09-18,2025-04-05,ProviderA
ENT004885,ENT002979,Affiliate,33.75,2019-07-13,2026-08-29,Internal Master
ENT001644,ENT002734,Ultimate Parent,77.08,2017-09-01,2025-01-08,ProviderA
ENT000456,ENT004151,Affiliate,29.44,2012-05-13,2025-09-03,Internal Master
ENT003520,ENT000383,Affiliate,125.0,2012-12-12,2028-07-09,Internal Master
ENT004091,ENT001536,Subsidiary,116.32,2012-08-25,2028-06-03,ProviderB
ENT001935,ENT002002,Affiliate,48.21,2013-03-11,2028-07-24,Internal Master
ENT004381,ENT001407,Ultimate Parent,68.79,2018-09-07,2025-04-03,ProviderA
ENT003558,ENT001851,Affiliate,59.73,2020-03-12,2027-11-20,ProviderB
ENT001155,ENT000909,Affiliate,100.14,2013-02-23,2024-12-22,Internal Master
ENT004301,ENT003377,Subsidiary,47.07,2018-10-17,2025-04-03,ProviderB
ENT002582,ENT004034,Parent,90.84,2017-06-23,2028-04-07,Internal Master
ENT001368,ENT004507,Ultimate Parent,94.53,2020-07-16,2028-05-23,ProviderB
ENT003404,ENT002503,Affiliate,80.38,2021-02-11,2027-12-22,ProviderA
ENT001043,ENT002917,Subsidiary,56.43,2022-11-30,2024-10-07,Internal Master
ENT001733,ENT002622,Ultimate Parent,87.46,2010-07-24,2026-12-06,ProviderB
