issuer_id,entity_id,issuer_name,instrument_type,market,listing_status,exchange_code,risk_country,source_system
ISS000001,ENT002565,Riverstone Capital,Equity,OTC,Listed,,JP,Issuer Feed
ISS000002,ENT003311,Sterling Capital,Equity,Public,Delisted,NYSE,ZA,Manual Upload
ISS000003,ENT002037,Albion Group,Bond,Private,Delisted,,DE,ProviderA
ISS000004,ENT000223,Falcon Corporation,Bond,Private,Listed,NGX,ZA,ProviderB
ISS000005,ENT002930,Granite Capital,Bond,Public,Delisted,NYSE,FR,ProviderA
ISS000006,ENT000102,Oakwell Energy,Equity,Public,Delisted,NYSE,US,Issuer Feed
ISS000007,ENT001404,Frontier Group,Commercial Paper,Public,Delisted,NGX,IE,Issuer Feed
ISS000008,ENT004260,Westbridge Finance,Bond,OTC,Listed,,AU,ProviderB
ISS000009,ENT002358,Oakwell Corporation,Private Credit,OTC,Delisted,NASDAQ,CA,ProviderB
ISS000010,ENT002980,Summit PLC,InvalidInstrument,OTC,Unlisted,LSE,,Manual Upload
ISS000011,ENT004896,Silvergate Services,Private Credit,OTC,Unlisted,NYSE,IE,ProviderA
ISS000012,ENT001141,Oakwell Energy,Bond,OTC,Delisted,NGX,BR,ProviderB
ISS000013,ENT004296,Summit PLC,Equity,OTC,Delisted,XETRA,CA,ProviderA
ISS000014,ENT003816,Horizon Services,Equity,Private,Delisted,XETRA,HK,Manual Upload
ISS000015,ENT001929,Helios Investments,Commercial Paper,Public,Unlisted,LSE,JP,Issuer Feed
ISS000016,ENT001339,Riverstone Technologies,Fund,Public,Listed,,ZA,ProviderA
ISS000017,ENT001390,Crestline Technologies,Private Credit,Public,Listed,NGX,LU,Issuer Feed
ISS000018,ENT002132,Horizon Ltd,Bond,OTC,Listed,NGX,BR,Manual Upload
ISS000019,ENT003245,BluePeak PLC,Bond,Public,Listed,LSE,CH,ProviderB
ISS000020,ENT002289,Union Capital,Equity,Private,Delisted,XETRA,NL,ProviderB
ISS000021,ENT000748,Sterling Investments,Private Credit,Private,Delisted,NYSE,N/A,ProviderB
ISS000022,ENT004849,Nova Investments,Private Credit,Public,Delisted,LSE,IE,ProviderA
ISS000023,ENT001975,Cedar Energy,Commercial Paper,OTC,Listed,NYSE,SG,Manual Upload
ISS000024,ENT004527,Greenfield Industries,Bond,Private,Unlisted,XETRA,US,ProviderB
ISS000025,ENT000962,Korefield Partners,Equity,OTC,Unlisted,NASDAQ,IN,ProviderA
ISS000026,ENT001415,Atlas Limited,Equity,Public,Listed,NYSE,AE,ProviderA
ISS000027,ENT003942,Helios Investments,Equity,Public,Delisted,NYSE,N/A,Issuer Feed
ISS000028,ENT001414,Greenfield Investments,Equity,Private,Unlisted,XETRA,FR,Manual Upload
ISS000029,ENT004542,Lagos Continental Capital,Bond,Private,Listed,,LU,ProviderA
ISS000030,ENT002142,Silvergate Holdings,Bond,Private,Delisted,NGX,ZZZ,ProviderA
ISS000031,ENT002319,Helios Finance,Private Credit,Private,Listed,NYSE,NG,Issuer Feed
ISS000032,ENT000021,Albion Group,Fund,OTC,Unlisted,NASDAQ,AE,Issuer Feed
ISS000033,ENT002144,Silvergate Industries,Bond,Private,Unlisted,LSE,NG,ProviderB
ISS000034,ENT001568,Sterling Holdings,Equity,Private,Delisted,NASDAQ,US,ProviderA
