entity_id,kyc_status,risk_rating,sanctions_flag,pep_flag,counterparty_type,last_review_date,next_review_due_date,source_system
ENT003794,Approved,High,True,,Supplier,2022-03-14,2022-09-11,Manual Upload
ENT000063,Approved,InvalidRisk,True,N,Client,2023-10-24,2021-03-31,Manual Upload
ENT004195,Expired,Medium,Y,N,Broker,2023-03-20,2025-10-28,ProviderA
ENT003103,Approved,Medium,N,True,Issuer,2021-06-11,2027-05-10,Manual Upload
ENT003904,Pending,Critical,True,True,Broker,2021-06-10,2026-12-02,KYC Platform
ENT003693,Rejected,High,N,,Supplier,2023-01-08,2022-03-30,Manual Upload
ENT000879,Pending,Low,False,Y,Supplier,2022-04-28,2027-06-28,KYC Platform
ENT004435,Pending,Medium,Y,True,Unknown,2022-09-30,2024-04-11,Manual Upload
ENT002293,Pending,High,,Y,Broker,2024-08-18,2024-07-13,KYC Platform
ENT002715,Pending,Critical,False,N,Broker,2020-06-05,2026-06-18,Manual Upload
ENT004108,Rejected,Low,N,Y,Client,2022-06-08,2025-01-31,ProviderA
ENT002702,Approved,Medium,False,N,Client,2021-01-08,2024-02-29,KYC Platform
ENT002462,Approved,High,,N,Unknown,2020-11-03,2025-06-14,Manual Upload
ENT003268,Rejected,High,,N,Supplier,2021-09-22,2026-07-31,ProviderA
ENT001208,Rejected,Medium,Y,True,Fund,2020-07-27,2026-10-25,Manual Upload
ENT001046,Rejected,High,,Y,Supplier,2022-05-24,2026-07-29,KYC Platform
ENT002346,Rejected,Medium,,,Supplier,2020-03-31,2024-12-24,KYC Platform
ENT000440,Approved,Low,False,False,Client,2021-12-29,2027-09-09,Manual Upload
ENT000692,Rejected,Medium,,False,Fund,2020-05-09,2024-06-19,Manual Upload
ENT002965,Expired,InvalidRisk,Y,False,Broker,2022-01-16,2027-04-27,ProviderA
ENT004637,Rejected,Medium,N,,Fund,2024-09-21,2026-10-27,ProviderA
ENT003914,Approved,Medium,True,True,Issuer,2020-03-09,2024-11-24,ProviderA
ENT002880,Expired,Low,True,False,Supplier,2024-06-27,2027-04-09,Manual Upload
ENT002310,Approved,High,N,,Issuer,2021-08-19,2025-12-14,Manual Upload
ENT003163,Expired,Low,False,True,Broker,2023-08-22,2023-11-23,KYC Platform
ENT000951,Unknown,Low,N,,Fund,2022-08-09,2027-08-10,KYC Platform
ENT002833,Expired,Medium,N,True,Supplier,2021-09-23,2024-11-12,KYC Platform
ENT001132,Expired,InvalidRisk,True,N,Unknown,2021-12-17,2026-02-28,KYC Platform
ENT000161,Approved,Medium,,False,Fund,2024-12-22,2025-03-27,Manual Upload
ENT002744,Pending,Low,,N,Fund,2022-03-17,2026-09-02,KYC Platform
ENT004424,Pending,High,,Y,Client,2022-04-15,2024-02-23,ProviderA
ENT003751,Pending,Low,False,,Unknown,2024-06-20,2024-07-31,ProviderA
ENT000650,Approved,Low,Y,False,Supplier,2024-08-11,2025-09-06,Manual Upload
ENT000700,Unknown,Low,True,Y,Client,2020-02-22,2026-06-12,ProviderA
ENT000213,Expired,Low,,Y,Fund,2024-09-13,2025-05-07,KYC Platform
ENT003126,Pending,Medium,N,False,Client,2024-10-17,2026-06-23,KYC Platform
ENT003548,Pending,Medium,N,Y,Client,2023-03-20,2025-06-16,Manual Upload
ENT002204,Unknown,High,False,,Issuer,2017-08-18,2025-06-29,ProviderA
ENT001381,Rejected,Medium,,,Fund,2020-12-08,2024-07-22,ProviderA
ENT000005,Unknown,Low,True,,Fund,2024-05-12,2027-04-09,ProviderA
ENT003869,Pending,Low,True,Y,Supplier,2022-12-11,2025-11-15,Manual Upload
ENT000868,Rejected,Medium,,N,Client,2023-11-03,2024-12-27,Manual Upload
ENT004426,Expired,Low,,N,Broker,2020-05-01,2024-10-13,KYC Platform
ENT001949,Approved,High,N,Y,Client,2020-03-08,2024-10-24,ProviderA
ENT000916,Approved,Critical,Y,False,Issuer,2020-02-01,2027-10-02,Manual Upload
ENT001590,Approved,Low,,Y,Client,2023-05-02,2027-06-01,KYC Platform
ENT004757,Expired,Low,False,True,Supplier,2020-04-29,2027-05-11,Manual Upload
ENT000090,Pending,High,N,True,Issuer,2020-07-06,2027-09-08,ProviderA
ENT000355,Expired,Medium,True,N,Client,2020-09-30,2026-10-30,Manual Upload
ENT001057,Approved,Low,,Y,Broker,2023-11-11,2024-03-06,ProviderA
ENT000818,Approved,Medium,,,Broker,2022-04-05,2021-03-31,KYC Platform
ENT000693,Pending,High,True,,Issuer,2024-08-21,2026-12-25,ProviderA
ENT003766,Expired,Low,N,,Supplier,2021-10-21,2021-07-25,KYC Platform
ENT001223,Unknown,High,,True,Unknown,2020-04-23,2024-06-16,ProviderA
ENT003350,Expired,High,Y,Y,Unknown,2022-01-16,2026-03-21,ProviderA
ENT001041,Pending,Low,True,False,Issuer,2022-07-26,2024-11-24,Manual Upload
ENT003696,Rejected,Low,False,,Broker,2024-05-30,2024-05-21,KYC Platform
ENT003604,Expired,Medium,N,,Fund,2023-08-16,2024-09-20,Manual Upload
ENT000750,Pending,Critical,N,N,Issuer,2021-11-29,2025-11-16,ProviderA
ENT000470,Pending,Medium,N,,Supplier,2022-08-10,2024-08-23,KYC Platform
ENT001309,Expired,Low,Y,False,Issuer,2023-05-05,2027-03-10,ProviderA
ENT003611,Rejected,Low,Y,True,Supplier,2020-01-16,2025-04-06,KYC Platform
ENT000612,Unknown,Low,Y,N,Issuer,2020-03-24,2020-11-22,ProviderA
ENT003010,Expired,Critical,,False,Issuer,2024-10-13,2027-08-04,KYC Platform
