provider_record_id,provider_name,legal_name,country_code,registration_number,sector,status,confidence_score,feed_date
PRV0000001,ProviderA,Atlas Investments,US,US-273883,Utilities,Active,0.912,2024-11-04
PRV0000002,ProviderC,Crestline Industries,JP,JP-764539,Consumer Goods,Active,0.955,2024-02-17
PRV0000003,ProviderA,BluePeak Corp,LU,LU-489232,Financials,Active,0.922,2024-09-02
PRV0000004,ProviderA,Nova Industries,CA,CA-496458,Energy,Active,0.856,2024-10-04
PRV0000005,ProviderA,Meridian PLC,LU,LU-337165,Energy,Unknown,0.828,2024-12-21
PRV0000006,ProviderA,Atlas Services,AE,AE-907505,Utilities,Active,0.985,2024-05-04
PRV0000007,ProviderA,Horizon Industries,FR,FR-413445,Healthcare,Active,0.569,2025-01-14
PRV0000008,ProviderA,Nova Industries,IN,IN-408307,Financials,Active,0.924,2024-02-07
PRV0000009,ProviderC,FRONTIER PLC,CA,CA-509025,Telecommunications,Active,0.862,2024-05-08
PRV0000010,ProviderC,Union Holdings,FR,FR-272309,Technology,Active,0.941,2025-01-24
PRV0000011,ProviderC,Greenfield Partners,FR,FR-442134,Industrials,Inactive,0.63,2024-02-22
PRV0000012,ProviderB,HELIOS INVESTMENTS,AE,AE-825942,Industrials,Active,0.984,2024-05-24
PRV0000013,ProviderB,Lagos Continental Group,NL,NL-550987,Technology,Active,0.849,2024-07-13
PRV0000014,ProviderA,Lagos Continental PLC,CA,CA-176688,Financials,Active,0.757,2024-04-16
PRV0000015,ProviderA,BLUEPEAK PLC,FR,FR-534437,Financials,Active,0.754,2024-01-12
PRV0000016,ProviderC,Riverstone Investments,IE,IE-364803,Real Estate,Active,0.78,2024-02-10
PRV0000017,ProviderA,Oakwell Industries,HK,HK-462405,Real Estate,Active,0.921,2024-03-01
PRV0000018,ProviderC,Helios Services,CH,CH-823810,Utilities,Dissolved,0.831,2024-01-04
PRV0000019,ProviderC,GREENFIELD ENERGY,DE,DE-885324,Industrials,Active,0.643,2024-03-24
PRV0000020,ProviderB,Albion Capital,HK,HK-420600,Real Estate,Active,0.661,2025-02-23
PRV0000021,ProviderC,Granite Holdings,AE,,Healthcare,Active,0.994,2024-01-02
PRV0000022,ProviderA,Granite Services,IE,IE-738837,Financials,Active,1.5,2024-12-18
PRV0000023,ProviderC,Nova Energy,AE,AE-697310,Technology,Dissolved,0.845,2024-10-17
PRV0000024,ProviderB,,JP,JP-215801,Utilities,Active,0.679,2024-05-18
PRV0000025,ProviderB,Frontier PLC,IN,IN-586185,Energy,Active,1.5,2024-06-09
PRV0000026,ProviderC,Westbridge Partners,ZZZ,NG-349062,Technology,Active,0.924,2024-04-07
PRV0000027,ProviderC,Falcon Ltd,AU,AU-958941,Telecommunications,Active,0.556,2024-01-20
PRV0000028,ProviderA,Summit Holdings,LU,,Energy,Active,0.748,2024-06-15
PRV0000029,ProviderA,Meridian Holdings,XX,FR-676449,Financials,Active,0.757,2024-04-21
PRV0000030,ProviderA,Summit Investments,N/A,,Telecommunications,Inactive,0.505,2024-11-14
PRV0000031,ProviderC,Union Partners,IE,IE-767469,Healthcare,Unknown,0.744,2024-08-04
PRV0000032,ProviderB,Northbridge Ltd,IE,IE-409563,Financials,Active,0.811,2024-11-18
PRV0000033,ProviderC,PrimeEdge Finance,GB,GB-420959,Materials,Active,0.653,2024-09-04
PRV0000034,ProviderC,PrimeEdge PLC,AU,AU-338843,Materials,Inactive,1.042,2024-07-20
PRV0000035,ProviderC,PrimeEdge Services,JP,JP-111454,Utilities,Active,0.826,2024-05-15
PRV0000036,ProviderC,Granite Energy,DE,DE-301144,Energy,Dissolved,0.972,2024-08-30
PRV0000037,ProviderB,Albion Ltd,BR,BR-490178,Utilities,Merged,0.78,2024-01-25
PRV0000038,ProviderC,,SG,SG-517446,Utilities,Unknown,0.621,2025-02-06
PRV0000039,ProviderC,Summit Ltd,JP,JP-299457,Utilities,Active,1.044,2024-01-14
PRV0000040,ProviderB,BluePeak Finance,IN,IN-241639,Utilities,Active,0.955,2024-07-19
PRV0000041,ProviderB,Silvergate Energy,BR,,Healthcare,Active,0.538,2024-07-26
PRV0000042,ProviderC,Atlas Services,NL,NL-702619,Financials,Active,0.62,2024-08-12
PRV0000043,ProviderB,Union Holdings,SG,SG-969389,Materials,Unknown,1.051,2024-10-28
PRV0000044,ProviderA,Nova Corp,IE,,Real Estate,Active,0.923,2024-04-04
PRV0000045,ProviderB,Frontier Corp,LU,LU-457886,Telecommunications,Unknown,0.801,2025-01-13
PRV0000046,ProviderA,Union Finance ,NL,NL-683414,Telecommunications,Unknown,0.931,2024-03-04
PRV0000047,ProviderA,Meridian Energy,GB,GB-921220,Industrials,Unknown,0.838,2024-11-09
PRV0000048,ProviderC,Riverstone Ltd ,SG,SG-371450,Utilities,Active,0.677,2025-02-01
PRV0000049,ProviderB,Atlas Energy,DE,DE-891016,Industrials,Unknown,0.926,2024-02-06
PRV0000050,ProviderA,Union Ltd,DE,DE-366150,Healthcare,Inactive,0.475,2024-12-22
PRV0000051,ProviderA,Cedar Corp,DE,DE-730866,Financials,Unknown,1.03,2024-04-01
PRV0000052,ProviderB,Crestline Technologies,NG,NG-300364,Materials,Active,0.61,2024-12-02
PRV0000053,ProviderB,KOREFIELD ENERGY,AU,AU-551220,Industrials,Active,0.686,2024-01-21
PRV0000054,ProviderA,Cedar Group,DE,DE-647076,Energy,Merged,1.046,2024-04-09
PRV0000055,ProviderA,Sterling Finance,SG,SG-611128,Telecommunications,Active,0.732,2024-06-19
PRV0000056,ProviderC,Falcon Finance,NG,NG-916150,Real Estate,Active,0.874,2024-11-19
PRV0000057,ProviderB,Helios Partners ,SG,SG-799333,Energy,Merged,0.675,2024-02-17
PRV0000058,ProviderB,Meridian Investments,NG,NG-327038,Healthcare,Inactive,0.849,2024-10-19
PRV0000059,ProviderC,Redwood Investments,GB,GB-786877,Energy,Merged,0.659,2024-09-26
PRV0000060,ProviderA,Lagos Continental Corp,AU,,Consumer Goods,Active,1.091,2024-07-24
PRV0000061,ProviderB,Cedar Investments,IN,IN-832228,Real Estate,Unknown,1.016,2024-11-13
PRV0000062,ProviderB,Korefield Partners,AU,AU-831137,Technology,Active,0.84,2024-09-02
PRV0000063,ProviderB,Frontier Industries,FR,FR-721338,Materials,Active,0.984,2024-04-08
PRV0000064,ProviderC,Horizon Corp,DE,DE-644399,Utilities,Active,0.695,2024-09-29
PRV0000065,ProviderA,Falcon Services,DE,DE-274209,Utilities,Active,0.881,2024-07-16
PRV0000066,ProviderA,,BR,BR-486311,Consumer Goods,Active,1.074,2025-02-16
PRV0000067,ProviderB,Horizon Capital,GB,GB-360324,Technology,Active,0.592,2024-03-08
PRV0000068,ProviderB,Meridian Energy,CA,CA-635373,Utilities,Active,0.597,2024-05-14
PRV0000069,ProviderB,Sterling Energy,,NL-957370,Real Estate,Unknown,0.758,2024-06-08
PRV0000070,ProviderB,Summit PLC,FR,FR-289059,Financials,Active,0.765,2024-12-24
PRV0000071,ProviderC,Lagos Continental Industries,BR,BR-245317,Materials,Active,0.946,2024-01-21
PRV0000072,ProviderC,Horizon Capital,NL,NL-377932,Materials,Active,0.907,2025-02-20
PRV0000073,ProviderB,Horizon Group,IN,IN-991140,Energy,Active,1.139,2024-01-13
